Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""""","=""""",0,4.16,Riverhead Books,Hardcover,343,2020,2020,,2023/02/27,to-read,to-read (#47),to-read,,,,0,0
59808605,Strangers to Ourselves: Unsettled Minds and the Stories That Make Us,Rachel Aviv,"Aviv, Rachel",,"=""0374600848""","=""9780374600846""",0,4.15,"Farrar, Straus and Giroux",Hardcover,288,2022,2022,,2023/02/27,to-read,to-read (#46),to-read,,,,0,0
59900070,Stay True,Hua Hsu,"Hsu, Hua",,"=""0385547773""","=""9780385547772""",0,4.05,Doubleday,Hardcover,208,2022,2022,,2023/02/27,to-read,to-read (#45),to-read,,,,0,0
56978042,Icebreaker,A.L. Graziadei,"Graziadei, A.L.",,"=""1250777119""","=""9781250777119""",0,4.06,Godwin Books,Hardcover,320,2022,2022,,2023/02/27,to-read,to-read (#44),to-read,,,,0,0
213233,Better: A Surgeon's Notes on Performance,Atul Gawande,"Gawande, Atul",,"=""0805082115""","=""9780805082111""",0,4.25,Metropolitan Books,Hardcover,288,2007,2007,,2023/02/27,to-read,to-read (#43),to-read,,,,0,0
4477,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,"Gawande, Atul",,"=""0312421702""","=""9780312421700""",0,4.27,Picador,Paperback,270,2003,2002,,2023/02/27,to-read,to-read (#42),to-read,,,,0,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",0,4.48,Metropolitan Books,Hardcover,282,2014,2014,,2023/02/27,to-read,to-read (#41),to-read,,,,0,0
674181,Madam Secretary: A Memoir,Madeleine K. Albright,"Albright, Madeleine K.",,"=""1401359620""","=""9781401359621""",0,4.10,Miramax,Paperback,736,2005,2001,,2023/02/27,to-read,to-read (#40),to-read,,,,0,0
33253215,The Heart's Invisible Furies,John Boyne,"Boyne, John",,"=""""","=""""",0,4.50,Hogarth Press,Hardcover,582,2017,2017,,2023/02/27,to-read,to-read (#39),to-read,,,,0,0
6382879,Zero at the Bone (Zero at the Bone #1),Jane Seville,"Seville, Jane",,"=""1935192817""","=""9781935192817""",0,4.10,Dreamspinner Press,ebook,308,2009,2009,,2023/02/27,"to-read, interested","to-read (#38), interested (#1)",to-read,,,,0,0
